"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 11:34:25 IST 2021","Wed Mar 17 11:34:49 IST 2021","23420","","The Automation Practice site E2E flow: To add a product to cart","","The Automation Practice site E2E flow: To add a product to cart","When User views the product and clicks on add to cart","When User views the product and clicks on add to cart",""
"passed","Wed Mar 17 11:33:57 IST 2021","Wed Mar 17 11:33:57 IST 2021","1","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","","",""
"passed","Wed Mar 17 11:34:23 IST 2021","Wed Mar 17 11:34:25 IST 2021","2024","","The Automation Practice site E2E flow: To add a product to cart","","The Automation Practice site E2E flow: To add a product to cart","Given User is logged in and on home page","Given User is logged in and on home page",""
"passed","Mon Mar 15 23:19:40 IST 2021","Mon Mar 15 23:19:45 IST 2021","4842","","The Automation Practice site E2E flow","","The Automation Practice site E2E flow","To register, the user has to provide his/her personal information","To register, the user has to provide his/her personal information",""
"passed","Mon Mar 15 23:19:45 IST 2021","Mon Mar 15 23:20:38 IST 2021","53471","","The Automation Practice site E2E flow","","The Automation Practice site E2E flow","To add a product to cart","To add a product to cart",""
"passed","Wed Mar 17 11:35:16 IST 2021","Wed Mar 17 11:35:16 IST 2021","0","","The Automation Practice site E2E flow: To add a product to cart","","The Automation Practice site E2E flow: To add a product to cart","","",""
"passed","Wed Mar 17 11:33:57 IST 2021","Wed Mar 17 11:34:07 IST 2021","10341","","The Automation Practice site E2E flow: As a new user, I want to create a new account","","The Automation Practice site E2E flow: As a new user, I want to create a new account","Given I am on the my account page","Given I am on the my account page",""
"passed","Wed Mar 17 11:33:56 IST 2021","Wed Mar 17 11:33:57 IST 2021","395","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","Then I should navigate to the My Accounts page","Then I should navigate to the My Accounts page",""
"passed","Mon Mar 15 23:19:19 IST 2021","Mon Mar 15 23:19:40 IST 2021","21374","","The Automation Practice site E2E flow","","The Automation Practice site E2E flow","As a new user, I want to create a new account","As a new user, I want to create a new account",""
"passed","Wed Mar 17 11:33:36 IST 2021","Wed Mar 17 11:33:43 IST 2021","6414","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","Given I am on the home page","Given I am on the home page",""
"passed","Wed Mar 17 11:34:18 IST 2021","Wed Mar 17 11:34:18 IST 2021","366","","The Automation Practice site E2E flow: As a new user, I want to create a new account","","The Automation Practice site E2E flow: As a new user, I want to create a new account","Then I should navigate to the personal information page","Then I should navigate to the personal information page",""
"passed","Mon Mar 15 23:18:59 IST 2021","Mon Mar 15 23:19:19 IST 2021","19986","","The Automation Practice site E2E flow","","The Automation Practice site E2E flow","As a new user, I want to signin to the application","As a new user, I want to signin to the application",""
"passed","Wed Mar 17 11:34:07 IST 2021","Wed Mar 17 11:34:18 IST 2021","10775","","The Automation Practice site E2E flow: As a new user, I want to create a new account","","The Automation Practice site E2E flow: As a new user, I want to create a new account","When I enter the emailID and click on the Create an Account button","When I enter the emailID and click on the Create an Account button",""
"passed","Wed Mar 17 11:34:23 IST 2021","Wed Mar 17 11:34:23 IST 2021","1","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","","",""
"passed","Wed Mar 17 11:34:49 IST 2021","Wed Mar 17 11:35:16 IST 2021","26945","","The Automation Practice site E2E flow: To add a product to cart","","The Automation Practice site E2E flow: To add a product to cart","Then The user should be able to complete the purchase","Then The user should be able to complete the purchase",""
"passed","Wed Mar 17 11:34:18 IST 2021","Wed Mar 17 11:34:19 IST 2021","355","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","Given I am on the personal information page","Given I am on the personal information page",""
"passed","Wed Mar 17 11:34:18 IST 2021","Wed Mar 17 11:34:18 IST 2021","1","","The Automation Practice site E2E flow: As a new user, I want to create a new account","","The Automation Practice site E2E flow: As a new user, I want to create a new account","","",""
"passed","Wed Mar 17 11:33:43 IST 2021","Wed Mar 17 11:33:56 IST 2021","13703","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","","The Automation Practice site E2E flow: As a new user, I want to signin to the application","When I click on the sign in button","When I click on the sign in button",""
"passed","Wed Mar 17 11:34:23 IST 2021","Wed Mar 17 11:34:23 IST 2021","506","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","Then The user should be registered and logged in successfully","Then The user should be registered and logged in successfully",""
"passed","Wed Mar 17 11:34:19 IST 2021","Wed Mar 17 11:34:23 IST 2021","4090","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","","The Automation Practice site E2E flow: To register, the user has to provide his/her personal information","When User enters the mandatory fields and click on Register button","When User enters the mandatory fields and click on Register button",""
